FIELD,CLUB,URL
LOGO_1,MAN CITY,https://crests.football-data.org/65.png
LOGO_2,ARSENAL,https://crests.football-data.org/57.png
LOGO_3,HULL CITY,https://crests.football-data.org/322.png
LOGO_4,CHELSEA,https://crests.football-data.org/61.png
LOGO_5,BRENTFORD,https://crests.football-data.org/402.png
LOGO_6,LIVERPOOL,https://crests.football-data.org/64.png
LOGO_7,NEWCASTLE,https://crests.football-data.org/67.png
LOGO_8,EVERTON,https://crests.football-data.org/62.png
LOGO_9,LEEDS UNITED,https://crests.football-data.org/341.png
LOGO_10,BRIGHTON,https://crests.football-data.org/397.png
LOGO_11,MAN UNITED,https://crests.football-data.org/66.png
LOGO_12,SUNDERLAND,https://crests.football-data.org/71.png
LOGO_13,CRYSTAL PALACE,https://crests.football-data.org/354.png
LOGO_14,IPSWICH TOWN,https://crests.football-data.org/349.png
LOGO_15,BOURNEMOUTH,https://crests.football-data.org/bournemouth.png
LOGO_16,NOTTINGHAM,https://crests.football-data.org/351.png
LOGO_17,ASTON VILLA,https://crests.football-data.org/58.png
LOGO_18,TOTTENHAM,https://crests.football-data.org/73.png
LOGO_19,FULHAM,https://crests.football-data.org/63.png
LOGO_20,COVENTRY,https://crests.football-data.org/1076.png
